"","country","continent","year","lifeExp","pop","gdpPercap"
"73","Dominican Republic","Americas",1992,68.457,7351181,3044.214214
"74","Dominican Republic","Americas",1997,69.957,7992357,3614.101285
"75","Ecuador","Americas",1992,69.613,10748394,7103.702595
"76","Ecuador","Americas",1997,72.312,11911819,7429.455877
"77","Egypt","Africa",1992,63.674,59402198,3794.755195
"78","Egypt","Africa",1997,67.217,66134291,4173.181797
"79","El Salvador","Americas",1992,66.798,5274649,4444.2317
"80","El Salvador","Americas",1997,69.535,5783439,5154.825496
"81","Equatorial Guinea","Africa",1992,47.545,387838,1132.055034
"82","Equatorial Guinea","Africa",1997,48.245,439971,2814.480755
"83","Eritrea","Africa",1992,49.991,3668440,582.8585102
"84","Eritrea","Africa",1997,53.378,4058319,913.47079
"85","Ethiopia","Africa",1992,48.091,52088559,421.3534653
"86","Ethiopia","Africa",1997,49.402,59861301,515.8894013
"87","Finland","Europe",1992,75.7,5041039,20647.16499
"88","Finland","Europe",1997,77.13,5134406,23723.9502
"89","France","Europe",1992,77.46,57374179,24703.79615
"90","France","Europe",1997,78.64,58623428,25889.78487
"91","Gabon","Africa",1992,61.366,985739,13522.15752
"92","Gabon","Africa",1997,60.461,1126189,14722.84188
"93","Gambia","Africa",1992,52.644,1025384,665.6244126
"94","Gambia","Africa",1997,55.861,1235767,653.7301704
"95","Germany","Europe",1992,76.07,80597764,26505.30317
"96","Germany","Europe",1997,77.34,82011073,27788.88416
"97","Ghana","Africa",1992,57.501,16278738,925.060154
"98","Ghana","Africa",1997,58.556,18418288,1005.245812
"99","Greece","Europe",1992,77.03,10325429,17541.49634
"100","Greece","Europe",1997,77.869,10502372,18747.69814
"101","Guatemala","Americas",1992,63.373,8486949,4439.45084
"102","Guatemala","Americas",1997,66.322,9803875,4684.313807
"103","Guinea","Africa",1992,48.576,6990574,794.3484384
"104","Guinea","Africa",1997,51.455,8048834,869.4497668
"105","Guinea-Bissau","Africa",1992,43.266,1050938,745.5398706
"106","Guinea-Bissau","Africa",1997,44.873,1193708,796.6644681
"107","Haiti","Americas",1992,55.089,6326682,1456.309517
"108","Haiti","Americas",1997,56.671,6913545,1341.726931
"109","Honduras","Americas",1992,66.399,5077347,3081.694603
"110","Honduras","Americas",1997,67.659,5867957,3160.454906
"111","Hong Kong, China","Asia",1992,77.601,5829696,24757.60301
"112","Hong Kong, China","Asia",1997,80,6495918,28377.63219
"113","Hungary","Europe",1992,69.17,10348684,10535.62855
"114","Hungary","Europe",1997,71.04,10244684,11712.7768
"115","Iceland","Europe",1992,78.77,259012,25144.39201
"116","Iceland","Europe",1997,78.95,271192,28061.09966
"117","India","Asia",1992,60.223,872000000,1164.406809
"118","India","Asia",1997,61.765,959000000,1458.817442
"119","Indonesia","Asia",1992,62.681,184816000,2383.140898
"120","Indonesia","Asia",1997,66.041,199278000,3119.335603
"121","Iran","Asia",1992,65.742,60397973,7235.653188
"122","Iran","Asia",1997,68.042,63327987,8263.590301
"123","Iraq","Asia",1992,59.461,17861905,3745.640687
"124","Iraq","Asia",1997,58.811,20775703,3076.239795
"125","Ireland","Europe",1992,75.467,3557761,17558.81555
"126","Ireland","Europe",1997,76.122,3667233,24521.94713
"127","Israel","Asia",1992,76.93,4936550,18051.52254
"128","Israel","Asia",1997,78.269,5531387,20896.60924
"129","Italy","Europe",1992,77.44,56840847,22013.64486
"130","Italy","Europe",1997,78.82,57479469,24675.02446
"131","Jamaica","Americas",1992,71.766,2378618,7404.923685
"132","Jamaica","Americas",1997,72.262,2531311,7121.924704
"133","Japan","Asia",1992,79.36,124329269,26824.89511
"134","Japan","Asia",1997,80.69,125956499,28816.58499
"135","Jordan","Asia",1992,68.015,3867409,3431.593647
"136","Jordan","Asia",1997,69.772,4526235,3645.379572
"137","Kenya","Africa",1992,59.285,25020539,1341.921721
"138","Kenya","Africa",1997,54.407,28263827,1360.485021
"139","Korea, Dem. Rep.","Asia",1992,69.978,20711375,3726.063507
"140","Korea, Dem. Rep.","Asia",1997,67.727,21585105,1690.756814
"141","Korea, Rep.","Asia",1992,72.244,43805450,12104.27872
"142","Korea, Rep.","Asia",1997,74.647,46173816,15993.52796
"143","Kuwait","Asia",1992,75.19,1418095,34932.91959
"144","Kuwait","Asia",1997,76.156,1765345,40300.61996
"145","Lebanon","Asia",1992,69.292,3219994,6890.806854
"146","Lebanon","Asia",1997,70.265,3430388,8754.96385
"147","Lesotho","Africa",1992,59.685,1803195,977.4862725
"148","Lesotho","Africa",1997,55.558,1982823,1186.147994
"149","Liberia","Africa",1992,40.802,1912974,636.6229191
"150","Liberia","Africa",1997,42.221,2200725,609.1739508
"151","Libya","Africa",1992,68.755,4364501,9640.138501
"152","Libya","Africa",1997,71.555,4759670,9467.446056
"153","Madagascar","Africa",1992,52.214,12210395,1040.67619
"154","Madagascar","Africa",1997,54.978,14165114,986.2958956
"155","Malawi","Africa",1992,49.42,10014249,563.2000145
"156","Malawi","Africa",1997,47.495,10419991,692.2758103
"157","Malaysia","Asia",1992,70.693,18319502,7277.912802
"158","Malaysia","Asia",1997,71.938,20476091,10132.90964
"159","Mali","Africa",1992,48.388,8416215,739.014375
"160","Mali","Africa",1997,49.903,9384984,790.2579846
"161","Mauritania","Africa",1992,58.333,2119465,1361.369784
"162","Mauritania","Africa",1997,60.43,2444741,1483.136136
"163","Mauritius","Africa",1992,69.745,1096202,6058.253846
"164","Mauritius","Africa",1997,70.736,1149818,7425.705295
"165","Mexico","Americas",1992,71.455,88111030,9472.384295
"166","Mexico","Americas",1997,73.67,95895146,9767.29753
"167","Mongolia","Asia",1992,61.271,2312802,1785.402016
"168","Mongolia","Asia",1997,63.625,2494803,1902.2521
"169","Montenegro","Europe",1992,75.435,621621,7003.339037
"170","Montenegro","Europe",1997,75.445,692651,6465.613349
"171","Morocco","Africa",1992,65.393,25798239,2948.047252
"172","Morocco","Africa",1997,67.66,28529501,2982.101858
"173","Mozambique","Africa",1992,44.284,13160731,410.8968239
"174","Mozambique","Africa",1997,46.344,16603334,472.3460771
"175","Myanmar","Asia",1992,59.32,40546538,347
"176","Myanmar","Asia",1997,60.328,43247867,415
"177","Namibia","Africa",1992,61.999,1554253,3804.537999
"178","Namibia","Africa",1997,58.909,1774766,3899.52426
"179","Nepal","Asia",1992,55.727,20326209,897.7403604
"180","Nepal","Asia",1997,59.426,23001113,1010.892138
"181","Netherlands","Europe",1992,77.42,15174244,26790.94961
"182","Netherlands","Europe",1997,78.03,15604464,30246.13063
"183","New Zealand","Oceania",1992,76.33,3437674,18363.32494
"184","New Zealand","Oceania",1997,77.55,3676187,21050.41377
"185","Nicaragua","Americas",1992,65.843,4017939,2170.151724
"186","Nicaragua","Americas",1997,68.426,4609572,2253.023004
"187","Niger","Africa",1992,47.391,8392818,581.182725
"188","Niger","Africa",1997,51.313,9666252,580.3052092
"189","Nigeria","Africa",1992,47.472,93364244,1619.848217
"190","Nigeria","Africa",1997,47.464,106207839,1624.941275
"191","Norway","Europe",1992,77.32,4286357,33965.66115
"192","Norway","Europe",1997,78.32,4405672,41283.16433
"193","Oman","Asia",1992,71.197,1915208,18616.70691
"194","Oman","Asia",1997,72.499,2283635,19702.05581
"195","Pakistan","Asia",1992,60.838,120065004,1971.829464
"196","Pakistan","Asia",1997,61.818,135564834,2049.350521
"197","Panama","Americas",1992,72.462,2484997,6618.74305
"198","Panama","Americas",1997,73.738,2734531,7113.692252
"199","Paraguay","Americas",1992,68.225,4483945,4196.411078
"200","Paraguay","Americas",1997,69.4,5154123,4247.400261
"201","Peru","Americas",1992,66.458,22430449,4446.380924
"202","Peru","Americas",1997,68.386,24748122,5838.347657
"203","Philippines","Asia",1992,66.458,67185766,2279.324017
"204","Philippines","Asia",1997,68.564,75012988,2536.534925
"205","Poland","Europe",1992,70.99,38370697,7738.881247
"206","Poland","Europe",1997,72.75,38654957,10159.58368
"207","Portugal","Europe",1992,74.86,9927680,16207.26663
"208","Portugal","Europe",1997,75.97,10156415,17641.03156
"209","Puerto Rico","Americas",1992,73.911,3585176,14641.58711
"210","Puerto Rico","Americas",1997,74.917,3759430,16999.4333
"211","Reunion","Africa",1992,73.615,622191,6101.255823
"212","Reunion","Africa",1997,74.772,684810,6071.941411
"213","Romania","Europe",1992,69.36,22797027,6598.409903
"214","Romania","Europe",1997,69.72,22562458,7346.547557
"215","Rwanda","Africa",1992,23.599,7290203,737.0685949
"216","Rwanda","Africa",1997,36.087,7212583,589.9445051
"217","Sao Tome and Principe","Africa",1992,62.742,125911,1428.777814
"218","Sao Tome and Principe","Africa",1997,63.306,145608,1339.076036
"219","Saudi Arabia","Asia",1992,68.768,16945857,24841.61777
"220","Saudi Arabia","Asia",1997,70.533,21229759,20586.69019
"221","Senegal","Africa",1992,58.196,8307920,1367.899369
"222","Senegal","Africa",1997,60.187,9535314,1392.368347
"223","Serbia","Europe",1992,71.659,9826397,9325.068238
"224","Serbia","Europe",1997,72.232,10336594,7914.320304
"225","Sierra Leone","Africa",1992,38.333,4260884,1068.696278
"226","Sierra Leone","Africa",1997,39.897,4578212,574.6481576
"227","Singapore","Asia",1992,75.788,3235865,24769.8912
"228","Singapore","Asia",1997,77.158,3802309,33519.4766
"229","Slovak Republic","Europe",1992,71.38,5302888,9498.467723
"230","Slovak Republic","Europe",1997,72.71,5383010,12126.23065
"231","Slovenia","Europe",1992,73.64,1999210,14214.71681
"232","Slovenia","Europe",1997,75.13,2011612,17161.10735
"233","Somalia","Africa",1992,39.658,6099799,926.9602964
"234","Somalia","Africa",1997,43.795,6633514,930.5964284
"235","South Africa","Africa",1992,61.888,39964159,7225.069258
"236","South Africa","Africa",1997,60.236,42835005,7479.188244
"237","Spain","Europe",1992,77.57,39549438,18603.06452
"238","Spain","Europe",1997,78.77,39855442,20445.29896
"239","Sri Lanka","Asia",1992,70.379,17587060,2153.739222
"240","Sri Lanka","Asia",1997,70.457,18698655,2664.477257
"241","Sudan","Africa",1992,53.556,28227588,1492.197043
"242","Sudan","Africa",1997,55.373,32160729,1632.210764
"243","Swaziland","Africa",1992,58.474,962344,3553.0224
"244","Swaziland","Africa",1997,54.289,1054486,3876.76846
"245","Sweden","Europe",1992,78.16,8718867,23880.01683
"246","Sweden","Europe",1997,79.39,8897619,25266.59499
"247","Switzerland","Europe",1992,78.03,6995447,31871.5303
"248","Switzerland","Europe",1997,79.37,7193761,32135.32301
"249","Syria","Asia",1992,69.249,13219062,3340.542768
"250","Syria","Asia",1997,71.527,15081016,4014.238972
"251","Taiwan","Asia",1992,74.26,20686918,15215.6579
"252","Taiwan","Asia",1997,75.25,21628605,20206.82098
"253","Tanzania","Africa",1992,50.44,26605473,825.682454
"254","Tanzania","Africa",1997,48.466,30686889,789.1862231
"255","Thailand","Asia",1992,67.298,56667095,4616.896545
"256","Thailand","Asia",1997,67.521,60216677,5852.625497
"257","Togo","Africa",1992,58.061,3747553,1034.298904
"258","Togo","Africa",1997,58.39,4320890,982.2869243
"259","Trinidad and Tobago","Americas",1992,69.862,1183669,7370.990932
"260","Trinidad and Tobago","Americas",1997,69.465,1138101,8792.573126
"261","Tunisia","Africa",1992,70.001,8523077,4332.720164
"262","Tunisia","Africa",1997,71.973,9231669,4876.798614
"263","Turkey","Europe",1992,66.146,58179144,5678.348271
"264","Turkey","Europe",1997,68.835,63047647,6601.429915
"265","Uganda","Africa",1992,48.825,18252190,644.1707969
"266","Uganda","Africa",1997,44.578,21210254,816.559081
"267","United Kingdom","Europe",1992,76.42,57866349,22705.09254
"268","United Kingdom","Europe",1997,77.218,58808266,26074.53136
"269","United States","Americas",1992,76.09,256894189,32003.93224
"270","United States","Americas",1997,76.81,272911760,35767.43303
"271","Uruguay","Americas",1992,72.752,3149262,8137.004775
"272","Uruguay","Americas",1997,74.223,3262838,9230.240708
"273","Venezuela","Americas",1992,71.15,20265563,10733.92631
"274","Venezuela","Americas",1997,72.146,22374398,10165.49518
"275","Vietnam","Asia",1992,67.662,69940728,989.0231487
"276","Vietnam","Asia",1997,70.672,76048996,1385.896769
"277","West Bank and Gaza","Asia",1992,69.718,2104779,6017.654756
"278","West Bank and Gaza","Asia",1997,71.096,2826046,7110.667619
"279","Yemen, Rep.","Asia",1992,55.599,13367997,1879.496673
"280","Yemen, Rep.","Asia",1997,58.02,15826497,2117.484526
"281","Zambia","Africa",1992,46.1,8381163,1210.884633
"282","Zambia","Africa",1997,40.238,9417789,1071.353818
"283","Zimbabwe","Africa",1992,60.377,10704340,693.4207856
"284","Zimbabwe","Africa",1997,46.809,11404948,792.4499603
